Respondent ID,Wealth Planning,Wealth Action Text,Health Planning Text,Health Action Text,Civic Planning Text,Civic Action Text,Work Planning Text,Work Action Text,Gender,Age,Race,Education,Education Group,Income,Employment,Job Role,Region,Wealth Planning,Wealth Action,Health Planning,Health Action,Civic Planning,Civic Action,Work Planning,Work Action,Total Score,Rank Descending,Rank Ascending,Percentile,Wealth,Health,Civic,Work,Planning,Action,Status
6498485708,Almost always,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Male,35 to 44,White,Elementary,High school or less,"$25,000-$49,999","Disabled, not able to work",Logistics / transportation,East North Central,5,0,0,0,0,0,0,0,5,1393,11.5,0.008190883190883,5,0,0,0,5,0,Data Disadvantaged
6498227816,Almost never,Sometimes,Rarely,Almost never,Almost never,Almost never,Sometimes,Almost never,Male,45 to 54,White,Graduated from college,College-graduate,"$0-$24,999","Disabled, not able to work",Not employed,South Atlantic,0,2,1,0,0,0,2,0,5,1393,11.5,0.008190883190883,2,1,0,2,3,2,Data Disadvantaged
6498417606,Almost never,Almost never,Almost never,Usually,Almost never,Almost never,Sometimes,Almost never,Male,45 to 54,White,Graduated from high school,High school or less,"$25,000-$49,999","Employed, working part-time",Contract / freelance,East North Central,0,0,0,4,0,0,2,0,6,1392,13,0.009259259259259,0,4,0,2,2,4,Data Disadvantaged
6498407770,Almost never,Sometimes,Almost never,Rarely,Rarely,Rarely,Sometimes,Almost never,Female,45 to 54,White,Graduated from high school,High school or less,"$50,000-$74,999","Not employed, NOT looking for work",Other (please specify),East North Central,0,2,0,1,1,1,2,0,7,1389,15,0.010683760683761,2,1,2,2,3,4,Data Disadvantaged
6497977358,Sometimes,Sometimes,Sometimes,Rarely,Almost never,Almost never,Almost never,Almost never,Female,35 to 44,White,Graduated from high school,High school or less,"$0-$24,999","Disabled, not able to work",Not employed,East North Central,2,2,2,1,0,0,0,0,7,1389,15,0.010683760683761,4,3,0,0,4,3,Data Disadvantaged
6497853020,Almost never,Usually,Almost never,Almost never,Almost never,Rarely,Sometimes,Almost never,Female,25 to 34,Some other race (please specify),Some college,Some college,"$0-$24,999","Not employed, NOT looking for work",Not employed,Pacific,0,4,0,0,0,1,2,0,7,1389,15,0.010683760683761,4,0,1,2,2,5,Data Disadvantaged
6497901897,Rarely,Rarely,Sometimes,Sometimes,Almost never,Rarely,Rarely,Almost never,Female,35 to 44,White,Graduated from high school,High school or less,"$0-$24,999","Disabled, not able to work",Not employed,East North Central,1,1,2,2,0,1,1,0,8,1388,17,0.012108262108262,2,4,1,1,4,4,Data Disadvantaged
6498499725,Rarely,Sometimes,Almost never,Almost never,Usually,Sometimes,Almost never,Almost never,Female,45 to 54,White,Graduated from college,College-graduate,"$75,000-$99,999","Employed, working full-time","Technical / skilled trade (IT, electrician, plumber)",South Atlantic,1,2,0,0,4,2,0,0,9,1385,19,0.013532763532764,3,0,6,0,5,4,Data Disadvantaged
6498035780,Almost never,Usually,Almost never,Almost always,Almost never,Almost never,Almost never,Almost never,Female,35 to 44,White,Some high school,High school or less,"$0-$24,999","Employed, working part-time",Sales / service,East South Central,0,4,0,5,0,0,0,0,9,1385,19,0.013532763532764,4,5,0,0,0,9,Data Disadvantaged
6498008848,Rarely,Sometimes,Almost never,Almost never,Usually,Almost never,Almost never,Sometimes,Female,45 to 54,White,Graduated from college,College-graduate,"$25,000-$49,999","Employed, working full-time",Administrative professional,Middle Atlantic,1,2,0,0,4,0,0,2,9,1385,19,0.013532763532764,3,0,4,2,5,4,Data Disadvantaged
6501172641,Almost never,Almost always,Almost never,Almost never,Almost never,Almost never,Almost always,Almost never,Male,35 to 44,American Indian or Alaskan Native,Graduated from college,College-graduate,"$25,000-$49,999",Student,Administrative professional,Pacific,0,5,0,0,0,0,5,0,10,1378,24,0.017094017094017,5,0,0,5,5,5,Data Disadvantaged
6498845087,Almost never,Almost always,Almost never,Sometimes,Almost never,Rarely,Sometimes,Almost never,Male,45 to 54,White,Graduated from high school,High school or less,"$25,000-$49,999","Employed, working full-time",Contract / freelance,Mountain,0,5,0,2,0,1,2,0,10,1378,24,0.017094017094017,5,2,1,2,2,8,Data Disadvantaged
6498376904,Almost never,Usually,Almost never,Almost never,Sometimes,Almost never,Usually,Almost never,Female,35 to 44,Black or African-American,Some college,Some college,"$0-$24,999","Disabled, not able to work",Not employed,East North Central,0,4,0,0,2,0,4,0,10,1378,24,0.017094017094017,4,0,2,4,6,4,Data Disadvantaged
6498269509,Usually,Almost never,Sometimes,Almost never,Usually,Almost never,Almost never,Almost never,Male,55 to 64,White,Some college,Some college,"$100,000-$149,999","Employed, working full-time",Other (please specify),East North Central,4,0,2,0,4,0,0,0,10,1378,24,0.017094017094017,4,2,4,0,10,0,Data Disadvantaged
6497976024,Rarely,Usually,Usually,Almost never,Almost never,Rarely,Almost never,Almost never,Female,45 to 54,White,Some college,Some college,"$100,000-$149,999","Not employed, NOT looking for work",Not employed,Pacific,1,4,4,0,0,1,0,0,10,1378,24,0.017094017094017,5,4,1,0,5,5,Data Disadvantaged
6497906401,Usually,Sometimes,Almost never,Almost never,Almost never,Sometimes,Sometimes,Almost never,Female,35 to 44,White,Graduated from high school,High school or less,"$25,000-$49,999","Employed, working full-time",Other (please specify),East North Central,4,2,0,0,0,2,2,0,10,1378,24,0.017094017094017,6,0,2,2,6,4,Data Disadvantaged
6497858755,Almost never,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Female,25 to 34,White,Some high school,High school or less,"$25,000-$49,999","Employed, working full-time",Other (please specify),South Atlantic,0,2,0,0,2,2,2,2,10,1378,24,0.017094017094017,2,0,4,4,4,6,Data Disadvantaged
6500493277,Sometimes,Rarely,Almost never,Sometimes,Almost never,Sometimes,Usually,Almost never,Male,25 to 34,White,Graduated from high school,High school or less,"$0-$24,999","Not employed, NOT looking for work",Not employed,East South Central,2,1,0,2,0,2,4,0,11,1372,30.5,0.021723646723647,3,2,2,4,6,5,Data Disadvantaged
6500463216,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Male,25 to 34,White,Graduated from college,College-graduate,"$75,000-$99,999","Employed, working full-time",Owner / executive / management,Mountain,1,1,1,2,2,2,1,1,11,1372,30.5,0.021723646723647,2,3,4,2,5,6,Data Disadvantaged
6498852358,Almost never,Almost always,Rarely,Almost never,Almost always,Almost never,Almost never,Almost never,Male,45 to 54,Some other race (please specify),Some high school,High school or less,"$50,000-$74,999","Employed, working full-time",Other (please specify),New England,0,5,1,0,5,0,0,0,11,1372,30.5,0.021723646723647,5,1,5,0,6,5,Data Disadvantaged
6498557906,Usually,Almost never,Almost never,Almost always,Sometimes,Almost never,Almost never,Almost never,Female,55 to 64,White,Graduated from high school,High school or less,"$25,000-$49,999","Employed, working full-time",Other (please specify),Mountain,4,0,0,5,2,0,0,0,11,1372,30.5,0.021723646723647,4,5,2,0,6,5,Data Disadvantaged
6498280913,Rarely,Usually,Almost never,Almost never,Rarely,Sometimes,Sometimes,Rarely,Female,25 to 34,Black or African-American,Some high school,High school or less,"$0-$24,999","Not employed, looking for work",Not employed,West South Central,1,4,0,0,1,2,2,1,11,1372,30.5,0.021723646723647,5,0,3,3,4,7,Data Disadvantaged
6497842732,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Almost never,Female,65 to 74,White,Some college,Some college,"$75,000-$99,999",Retired,Not employed,New England,2,2,1,2,2,1,1,0,11,1372,30.5,0.021723646723647,4,3,3,1,6,5,Data Disadvantaged
6500601765,Almost never,Rarely,Rarely,Usually,Usually,Sometimes,Almost never,Almost never,Other,18 to 24,White,Graduated from high school,High school or less,"$25,000-$49,999","Employed, working part-time",Other (please specify),West North Central,0,1,1,4,4,2,0,0,12,1363,38,0.027065527065527,1,5,6,0,5,7,Data Disadvantaged
6500234038,Rarely,Almost never,Almost never,Almost never,Usually,Sometimes,Rarely,Usually,Male,25 to 34,White,Graduate degree,Post-graduate,"$25,000-$49,999","Employed, working full-time",Sales / service,West North Central,1,0,0,0,4,2,1,4,12,1363,38,0.027065527065527,1,0,6,5,6,6,Data Disadvantaged
6500092974,Rarely,Rarely,Almost never,Sometimes,Rarely,Usually,Sometimes,Rarely,Male,18 to 24,White,Some college,Some college,"$0-$24,999","Employed, working full-time",Owner / executive / management,West South Central,1,1,0,2,1,4,2,1,12,1363,38,0.027065527065527,2,2,5,3,4,8,Data Disadvantaged
6498572047,Sometimes,Almost never,Almost never,Almost always,Almost never,Almost never,Almost always,Almost never,Male,25 to 34,Black or African-American,Graduated from high school,High school or less,"$25,000-$49,999","Employed, working full-time",Sales / service,South Atlantic,2,0,0,5,0,0,5,0,12,1363,38,0.027065527065527,2,5,0,5,7,5,Data Disadvantaged
6498286407,Usually,Almost always,Almost never,Sometimes,Rarely,Almost never,Almost never,Almost never,Female,55 to 64,White,Graduated from high school,High school or less,"$0-$24,999",Retired,Not employed,Pacific,4,5,0,2,1,0,0,0,12,1363,38,0.027065527065527,9,2,1,0,5,7,Data Disadvantaged
6497957185,Sometimes,Usually,Almost never,Rarely,Almost never,Sometimes,Sometimes,Rarely,Female,35 to 44,Black or African-American,Some college,Some college,"$0-$24,999","Not employed, looking for work",Not employed,South Atlantic,2,4,0,1,0,2,2,1,12,1363,38,0.027065527065527,6,1,2,3,4,8,Data Disadvantaged
6497846606,Almost never,Usually,Almost never,Usually,Almost never,Usually,Almost never,Almost never,Female,25 to 34,White,Graduated from high school,High school or less,"$50,000-$74,999","Not employed, NOT looking for work",Not employed,Middle Atlantic,0,4,0,4,0,4,0,0,12,1363,38,0.027065527065527,4,4,4,0,0,12,Data Disadvantaged
6497818414,Almost never,Almost always,Rarely,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Male,18 to 24,Multiple races,Some high school,High school or less,"$25,000-$49,999","Employed, working part-time",Sales / service,East South Central,0,5,1,2,0,2,2,0,12,1363,38,0.027065527065527,5,3,2,2,3,9,Data Disadvantaged
6497802418,Rarely,Usually,Almost never,Usually,Almost never,Sometimes,Rarely,Almost never,Female,35 to 44,Multiple races,Some college,Some college,"$0-$24,999","Employed, working full-time",Sales / service,East North Central,1,4,0,4,0,2,1,0,12,1363,38,0.027065527065527,5,4,2,1,2,10,Data Disadvantaged
6501149463,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Almost always,Almost never,Male,25 to 34,White,Graduated from college,College-graduate,"$0-$24,999","Employed, working part-time",Sales / service,Middle Atlantic,1,2,1,1,2,1,5,0,13,1359,46,0.032763532763533,3,2,3,5,9,4,Data Disadvantaged
6500973234,Almost never,Sometimes,Almost always,Rarely,Rarely,Sometimes,Almost never,Sometimes,Male,35 to 44,White,Elementary,High school or less,"$100,000-$149,999","Not employed, NOT looking for work",Contract / freelance,West North Central,0,2,5,1,1,2,0,2,13,1356,46,0.032763532763533,2,6,3,2,6,7,Data Disadvantaged
6498259430,Almost never,Sometimes,Almost never,Almost never,Almost never,Usually,Almost always,Sometimes,Male,55 to 64,White,Graduated from college,College-graduate,"$75,000-$99,999",Retired,Not employed,West South Central,0,2,0,0,0,4,5,2,13,1356,46,0.032763532763533,2,0,4,7,5,8,Data Disadvantaged
6498240662,Almost always,Sometimes,Almost never,Rarely,Almost never,Almost always,Almost never,Almost never,Female,25 to 34,Some other race (please specify),Graduated from college,College-graduate,"$100,000-$149,999","Employed, working full-time",Owner / executive / management,Pacific,5,2,0,1,0,5,0,0,13,1356,46,0.032763532763533,7,1,5,0,5,8,Data Disadvantaged
6497928855,Almost never,Almost always,Almost never,Usually,Usually,Almost never,Almost never,Almost never,Female,25 to 34,White,Graduated from college,College-graduate,"$0-$24,999","Employed, working full-time",Logistics / transportation,East South Central,0,5,0,4,4,0,0,0,13,1356,46,0.032763532763533,5,4,4,0,4,9,Data Disadvantaged
6497926718,Almost never,Usually,Rarely,Sometimes,Almost never,Usually,Sometimes,Almost never,Female,25 to 34,White,Graduated from high school,High school or less,"$0-$24,999","Disabled, not able to work",Not employed,Middle Atlantic,0,4,1,2,0,4,2,0,13,1356,46,0.032763532763533,4,3,4,2,3,10,Data Disadvantaged
6497799824,Almost never,Usually,Almost never,Usually,Almost never,Almost never,Almost always,Almost never,Male,65 to 74,White,Some college,Some college,"$25,000-$49,999","Employed, working part-time",Sales / service,West South Central,0,4,0,4,0,0,5,0,13,1356,46,0.032763532763533,4,4,0,5,5,8,Data Disadvantaged
6498785765,Usually,Sometimes,Almost never,Sometimes,Almost never,Usually,Sometimes,Almost never,Male,45 to 54,White,Some high school,High school or less,"$0-$24,999","Disabled, not able to work",Other (please specify),East North Central,4,2,0,2,0,4,2,0,14,1351,52,0.037037037037037,6,2,4,2,6,8,Data Disadvantaged
6498474987,Rarely,Usually,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Female,55 to 64,White,Graduated from high school,High school or less,"$0-$24,999","Disabled, not able to work",Not employed,East South Central,1,4,2,2,2,1,1,1,14,1351,52,0.037037037037037,5,4,3,2,6,8,Data Disadvantaged
6498173129,Sometimes,Usually,Almost never,Sometimes,Almost never,Almost never,Usually,Sometimes,Female,18 to 24,White,Some college,Some college,"$25,000-$49,999","Employed, working full-time",Sales / service,East North Central,2,4,0,2,0,0,4,2,14,1351,52,0.037037037037037,6,2,0,6,6,8,Data Disadvantaged
6498010443,Sometimes,Usually,Rarely,Almost never,Almost always,Sometimes,Almost never,Almost never,Female,45 to 54,White,Some college,Some college,"$100,000-$149,999","Employed, working full-time",Sales / service,West North Central,2,4,1,0,5,2,0,0,14,1351,52,0.037037037037037,6,1,7,0,8,6,Data Disadvantaged
6497852846,Sometimes,Usually,Almost never,Usually,Almost never,Almost never,Sometimes,Sometimes,Male,18 to 24,White,Some high school,High school or less,"$0-$24,999",Student,Not employed,Pacific,2,4,0,4,0,0,2,2,14,1351,52,0.037037037037037,6,4,0,4,4,10,Data Disadvantaged
6501134950,Sometimes,Sometimes,Rarely,Almost always,Almost never,Sometimes,Rarely,Sometimes,Male,25 to 34,White,Some high school,High school or less,"$0-$24,999","Not employed, looking for work",Not employed,West South Central,2,2,1,5,0,2,1,2,15,1343,58.5,0.041666666666667,4,6,2,3,4,11,Data Disadvantaged
6498604065,Almost never,Almost always,Almost never,Almost always,Almost always,Almost never,Almost never,Almost never,Male,75 or older,White,Graduated from college,College-graduate,"$50,000-$74,999","Employed, working part-time","Licensed professional (MD, CPA, teacher)",East North Central,0,5,0,5,5,0,0,0,15,1343,58.5,0.041666666666667,5,5,5,0,5,10,Data Disadvantaged
6498459303,Usually,Almost always,Rarely,Rarely,Sometimes,Rarely,Almost never,Rarely,Female,45 to 54,American Indian or Alaskan Native,Graduated from college,College-graduate,"$150,000 and up","Employed, working full-time","Licensed professional (MD, CPA, teacher)",Pacific,4,5,1,1,2,1,0,1,15,1343,58.5,0.041666666666667,9,2,3,1,7,8,Data Disadvantaged
6498331912,Rarely,Rarely,Sometimes,Rarely,Almost always,Usually,Almost never,Rarely,Female,55 to 64,White,Some college,Some college,"$50,000-$74,999","Disabled, not able to work",Not employed,West North Central,1,1,2,1,5,4,0,1,15,1343,58.5,0.041666666666667,2,3,9,1,8,7,Data Disadvantaged
6498286708,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Female,25 to 34,White,Graduated from high school,High school or less,"$0-$24,999","Employed, working part-time",Sales / service,New England,2,2,1,2,2,2,2,2,15,1343,58.5,0.041666666666667,4,3,4,4,7,8,Data Disadvantaged
6498181388,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Usually,Sometimes,Rarely,Male,55 to 64,White,Graduated from college,College-graduate,"$150,000 and up","Employed, working full-time",Owner / executive / management,Middle Atlantic,2,2,2,0,2,4,2,1,15,1343,58.5,0.041666666666667,4,2,6,3,8,7,Data Disadvantaged
6498093478,Sometimes,Rarely,Almost never,Usually,Almost never,Usually,Sometimes,Sometimes,Female,25 to 34,White,Some college,Some college,"$25,000-$49,999","Employed, working full-time",Sales / service,West South Central,2,1,0,4,0,4,2,2,15,1343,58.5,0.041666666666667,3,4,4,4,4,11,Data Disadvantaged
6497818274,Sometimes,Almost always,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Almost never,Female,18 to 24,Asian,Some graduate school,Post-graduate,"$0-$24,999",Student,Not employed,Pacific,2,5,1,1,2,2,2,0,15,1343,58.5,0.041666666666667,7,2,4,2,7,8,Data Disadvantaged
6501152195,Rarely,Sometimes,Sometimes,Usually,Sometimes,Usually,Rarely,Almost never,Male,35 to 44,White,Some high school,High school or less,"$0-$24,999","Not employed, NOT looking for work",Not employed,East North Central,1,2,2,4,2,4,1,0,16,1331.5,73.5,0.052350427350427,3,6,6,1,6,10,Data Disadvantaged
6501020067,Rarely,Usually,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Male,35 to 44,Multiple races,Some high school,High school or less,"$0-$24,999","Disabled, not able to work",Not employed,Pacific,1,4,2,2,1,2,2,2,16,1321,73.5,0.052350427350427,5,4,3,4,6,10,Data Disadvantaged
6500657948,Sometimes,Sometimes,Sometimes,Almost always,Rarely,Rarely,Sometimes,Rarely,Male,18 to 24,White,Some college,Some college,"$100,000-$149,999",Student,Logistics / transportation,South Atlantic,2,2,2,5,1,1,2,1,16,1321,73.5,0.052350427350427,4,7,2,3,7,9,Data Disadvantaged
6500162867,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Male,25 to 34,White,Graduated from college,College-graduate,"$75,000-$99,999","Employed, working full-time",Owner / executive / management,West South Central,2,2,2,2,2,2,2,2,16,1321,73.5,0.052350427350427,4,4,4,4,8,8,Data Disadvantaged
6498843177,Rarely,Almost always,Sometimes,Rarely,Usually,Sometimes,Rarely,Almost never,Male,45 to 54,White,Some high school,High school or less,"$0-$24,999","Disabled, not able to work",Not employed,Pacific,1,5,2,1,4,2,1,0,16,1321,73.5,0.052350427350427,6,3,6,1,8,8,Data Disadvantaged
6498796658,Sometimes,Almost always,Rarely,Sometimes,Usually,Rarely,Almost never,Rarely,Male,65 to 74,White,Some college,Some college,"$25,000-$49,999","Employed, working full-time",Logistics / transportation,Pacific,2,5,1,2,4,1,0,1,16,1321,73.5,0.052350427350427,7,3,5,1,7,9,Data Disadvantaged
6498777050,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Male,45 to 54,White,Graduated from high school,High school or less,"$0-$24,999","Employed, working full-time",Other (please specify),Pacific,2,2,2,2,2,2,2,2,16,1321,73.5,0.052350427350427,4,4,4,4,8,8,Data Disadvantaged
6498732918,Usually,Sometimes,Sometimes,Sometimes,Sometimes,Usually,Almost never,Almost never,Male,65 to 74,White,Some college,Some college,"$50,000-$74,999",Retired,Not employed,Middle Atlantic,4,2,2,2,2,4,0,0,16,1321,73.5,0.052350427350427,6,4,6,0,8,8,Data Disadvantaged
6498523110,Sometimes,Rarely,Rarely,Usually,Usually,Sometimes,Rarely,Rarely,Female,75 or older,White,Some college,Some college,"$50,000-$74,999","Employed, working part-time",Owner / executive / management,Mountain,2,1,1,4,4,2,1,1,16,1321,73.5,0.052350427350427,3,5,6,2,8,8,Data Disadvantaged
6498476355,Sometimes,Usually,Sometimes,Sometimes,Usually,Sometimes,Almost never,Almost never,Male,65 to 74,White,Graduate degree,Post-graduate,"$50,000-$74,999",Retired,Not employed,South Atlantic,2,4,2,2,4,2,0,0,16,1321,73.5,0.052350427350427,6,4,6,0,8,8,Data Disadvantaged
6498443188,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Female,45 to 54,White,Graduated from high school,High school or less,"$25,000-$49,999","Employed, working part-time",Sales / service,,2,2,2,2,2,2,2,2,16,1321,73.5,0.052350427350427,4,4,4,4,8,8,Data Disadvantaged
6498359264,Almost never,Almost always,Almost never,Almost always,Usually,Sometimes,Almost never,Almost never,Female,35 to 44,White,Some college,Some college,"$25,000-$49,999","Employed, working full-time",Sales / service,East North Central,0,5,0,5,4,2,0,0,16,1321,73.5,0.052350427350427,5,5,6,0,4,12,Data Disadvantaged
6498316353,Almost never,Almost always,Almost never,Almost always,Almost never,Sometimes,Usually,Almost never,Female,45 to 54,White,Graduated from high school,High school or less,"$100,000-$149,999","Employed, working full-time",Owner / executive / management,South Atlantic,0,5,0,5,0,2,4,0,16,1321,73.5,0.052350427350427,5,5,2,4,4,12,Data Disadvantaged
6498266892,Rarely,Almost always,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Female,45 to 54,White,Graduated from high school,High school or less,"$0-$24,999","Disabled, not able to work",Not employed,Pacific,1,5,2,2,2,1,2,1,16,1321,73.5,0.052350427350427,6,4,3,3,7,9,Data Disadvantaged
6498240049,Almost always,Almost always,Almost never,Almost never,Sometimes,Sometimes,Rarely,Rarely,Male,25 to 34,Asian,Graduated from college,College-graduate,"$0-$24,999",Student,Not employed,Pacific,5,5,0,0,2,2,1,1,16,1321,73.5,0.052350427350427,10,0,4,2,8,8,Data Disadvantaged
6498226408,Rarely,Usually,Sometimes,Usually,Sometimes,Sometimes,Rarely,Almost never,Female,18 to 24,White,Some college,Some college,"$75,000-$99,999",Student,Not employed,East North Central,1,4,2,4,2,2,1,0,16,1321,73.5,0.052350427350427,5,6,4,1,6,10,Data Disadvantaged
6498200034,Sometimes,Sometimes,Rarely,Usually,Usually,Sometimes,Almost never,Rarely,Female,18 to 24,Multiple races,Some college,Some college,"$25,000-$49,999","Employed, working part-time",Administrative professional,South Atlantic,2,2,1,4,4,2,0,1,16,1321,73.5,0.052350427350427,4,5,6,1,7,9,Data Disadvantaged
6498152728,Almost always,Rarely,Sometimes,Rarely,Usually,Sometimes,Almost never,Rarely,Female,45 to 54,White,Graduate degree,Post-graduate,"$100,000-$149,999","Employed, working full-time","Licensed professional (MD, CPA, teacher)",East North Central,5,1,2,1,4,2,0,1,16,1321,73.5,0.052350427350427,6,3,6,1,11,5,Data Disadvantaged
6498063419,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Male,45 to 54,White,Graduate degree,Post-graduate,"$50,000-$74,999","Employed, working full-time",Sales / service,Middle Atlantic,2,2,2,2,2,2,2,2,16,1321,73.5,0.052350427350427,4,4,4,4,8,8,Data Disadvantaged
6497892496,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Female,35 to 44,Asian,Graduated from college,College-graduate,"$25,000-$49,999","Employed, working full-time",Administrative professional,Pacific,2,2,2,2,2,2,2,2,16,1321,73.5,0.052350427350427,4,4,4,4,8,8,Data Disadvantaged
6497824892,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Female,25 to 34,Asian,Some graduate school,Post-graduate,"$150,000 and up","Employed, working full-time","Licensed professional (MD, CPA, teacher)",Middle Atlantic,2,2,2,2,2,2,2,2,16,1321,73.5,0.052350427350427,4,4,4,4,8,8,Data Disadvantaged
6497799435,Rarely,Almost always,Almost never,Almost always,Rarely,Rarely,Sometimes,Rarely,Female,35 to 44,Some other race (please specify),Graduated from high school,High school or less,"$0-$24,999","Not employed, NOT looking for work",Not employed,East North Central,1,5,0,5,1,1,2,1,16,1321,73.5,0.052350427350427,6,5,2,3,4,12,Data Disadvantaged
6499696433,Usually,Almost always,Usually,Sometimes,Almost never,Almost never,Rarely,Rarely,Male,35 to 44,White,Graduated from college,College-graduate,"$25,000-$49,999","Employed, working full-time",Administrative professional,South Atlantic,4,5,4,2,0,0,1,1,17,1305,92.5,0.065883190883191,9,6,0,2,9,8,Data Disadvantaged
6498567459,Rarely,Usually,Rarely,Usually,Sometimes,Usually,Almost never,Rarely,Female,55 to 64,White,Some high school,High school or less,"$0-$24,999","Disabled, not able to work",Not employed,South Atlantic,1,4,1,4,2,4,0,1,17,1305,92.5,0.065883190883191,5,5,6,1,4,13,Data Disadvantaged
6498509105,Usually,Usually,Almost never,Usually,Usually,Rarely,Almost never,Almost never,Female,45 to 54,White,Graduated from high school,High school or less,"$0-$24,999","Employed, working part-time",Other (please specify),Middle Atlantic,4,4,0,4,4,1,0,0,17,1305,92.5,0.065883190883191,8,4,5,0,8,9,Data Disadvantaged
